City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
261,Kibala,TD,9.11,18.35,82.4,88,46,1.01,scattered clouds
262,Laguna,US,38.42,-121.42,86.0,37,1,5.82,haze
263,Balkanabat,TM,39.51,54.37,64.89,26,0,9.13,clear sky
264,Provideniya,RU,64.38,-173.3,37.67,77,68,9.51,broken clouds
265,Oistins,BB,13.07,-59.53,86.0,70,20,12.75,few clouds
266,Te Anau,NZ,-45.42,167.72,54.3,86,86,7.65,heavy intensity rain
267,Grants,US,35.15,-107.85,78.8,6,1,10.29,clear sky
268,Borjomi,GE,41.85,43.41,54.48,75,95,3.58,overcast clouds
269,Krasnoselkup,RU,65.7,82.47,29.34,98,100,25.84,overcast clouds
270,Tura,IN,25.52,90.22,73.56,93,26,2.01,scattered clouds
271,Chifeng,CN,42.27,118.96,36.84,68,0,8.41,clear sky
272,Oktyabrskoye,RU,43.06,44.74,59.0,87,93,4.47,overcast clouds
273,Bequimao,BR,-2.45,-44.78,84.2,70,20,17.22,few clouds
274,Torquay,GB,50.46,-3.51,53.01,9,100,19.71,overcast clouds
275,Salalah,OM,17.02,54.09,77.0,73,0,5.82,clear sky
276,Saint-Philippe,RE,-21.36,55.77,73.4,78,90,16.11,overcast clouds
277,Cabras,IT,39.93,8.53,54.0,89,0,3.0,clear sky
278,Cabedelo,BR,-6.98,-34.83,80.6,69,20,13.87,few clouds
279,Izumo,JP,35.37,132.77,68.0,94,75,2.24,broken clouds
280,Freeport,US,40.66,-73.58,68.0,45,40,6.93,scattered clouds
281,General Roca,AR,-39.03,-67.58,50.0,39,100,11.41,light rain
282,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.1,79,99,8.57,overcast clouds
283,Locri,IT,38.24,16.26,78.8,83,100,11.41,overcast clouds
284,Kingman,US,35.19,-114.05,99.0,4,1,11.41,clear sky
285,Usinsk,RU,65.99,57.53,31.44,97,0,7.2,clear sky
286,Malanje,AO,-9.54,16.34,71.69,66,0,3.36,clear sky
287,Granby,CA,45.4,-72.73,55.0,76,76,1.99,broken clouds
